Index,Arguments,Edge Probability,Edges,Type,Set length
160,1,0.1,0,admissible,1
160,1,0.1,0,complete,1
160,1,0.1,0,preferred,1
160,1,0.1,0,stable,1
161,1,0.1,0,admissible,0
161,1,0.1,0,admissible,1
161,1,0.1,0,complete,1
161,1,0.1,0,preferred,1
161,1,0.1,0,stable,1
162,1,0.1,0,admissible,0
162,1,0.1,0,admissible,1
162,1,0.1,0,complete,1
162,1,0.1,0,preferred,1
162,1,0.1,0,stable,1
163,1,0.1,0,admissible,0
163,1,0.1,0,admissible,1
163,1,0.1,0,complete,1
163,1,0.1,0,preferred,1
163,1,0.1,0,stable,1
164,1,0.1,0,admissible,0
164,1,0.1,0,admissible,1
164,1,0.1,0,complete,1
164,1,0.1,0,preferred,1
164,1,0.1,0,stable,1
165,1,0.1,0,admissible,0
165,1,0.1,0,admissible,1
165,1,0.1,0,complete,1
165,1,0.1,0,preferred,1
165,1,0.1,0,stable,1
166,1,0.1,0,admissible,0
166,1,0.1,0,admissible,1
166,1,0.1,0,complete,1
166,1,0.1,0,preferred,1
166,1,0.1,0,stable,1
167,1,0.1,0,admissible,0
167,1,0.1,0,admissible,1
167,1,0.1,0,complete,1
167,1,0.1,0,preferred,1
167,1,0.1,0,stable,1
168,1,0.1,0,admissible,0
168,1,0.1,0,admissible,1
168,1,0.1,0,complete,1
168,1,0.1,0,preferred,1
168,1,0.1,0,stable,1
169,1,0.1,0,admissible,0
169,1,0.1,0,admissible,1
169,1,0.1,0,complete,1
169,1,0.1,0,preferred,1
169,1,0.1,0,stable,1
170,1,0.1,0,admissible,0
170,1,0.1,0,admissible,1
170,1,0.1,0,complete,1
170,1,0.1,0,preferred,1
170,1,0.1,0,stable,1
171,1,0.1,0,admissible,0
171,1,0.1,0,admissible,1
171,1,0.1,0,complete,1
171,1,0.1,0,preferred,1
171,1,0.1,0,stable,1
172,1,0.1,0,admissible,0
172,1,0.1,0,admissible,1
172,1,0.1,0,complete,1
172,1,0.1,0,preferred,1
172,1,0.1,0,stable,1
173,1,0.1,0,admissible,0
173,1,0.1,0,admissible,1
173,1,0.1,0,complete,1
173,1,0.1,0,preferred,1
173,1,0.1,0,stable,1
174,1,0.1,0,admissible,0
174,1,0.1,0,admissible,1
174,1,0.1,0,complete,1
174,1,0.1,0,preferred,1
174,1,0.1,0,stable,1
175,1,0.1,0,admissible,0
175,1,0.1,0,admissible,1
175,1,0.1,0,complete,1
175,1,0.1,0,preferred,1
175,1,0.1,0,stable,1
176,1,0.1,0,admissible,0
176,1,0.1,0,admissible,1
176,1,0.1,0,complete,1
176,1,0.1,0,preferred,1
176,1,0.1,0,stable,1
177,1,0.1,0,admissible,0
177,1,0.1,0,admissible,1
177,1,0.1,0,complete,1
177,1,0.1,0,preferred,1
